GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
651	49EGY	21827	30/03/1998	1998	3	30	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Assiut	Al- Badari		El Badari	27.01670	31.41670	1	Reuters	A 10-year-old boy and a suspected Moslem militant were shot dead in a clash between police and three suspected militants in southern Egypt on Monday.	1
651	51EGY	21829	06/04/1998	1998	4	6	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Kesm Mallawi		Mallawi	27.73190	30.84110	1	Reuters	Suspected Moslem militants shot dead two farmers in southern Egypt late on Sunday.	2
651	52EGY	21830	10/04/1998	1998	4	10	1	Riots/Protests	Police Forces of Egypt (1981-2011)		1	Rioters (Egypt)		5	15	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	"One man was killed and six people were injured on Thursday when a riot erupted in Wabour al-Nour, about 200 km (120 miles) from the capital."	1
651	53EGY	21831	01/08/1998	1998	8	1	1	Violence against civilians	Police Forces of Egypt (1981-2011)		1	Civilians (Egypt)	Christian Group (Egypt)	7	17	Egypt	New Valley	Al-Kharga Oasis		Upper Egypt	26.00000	32.00000	3		"Coptic Christian clergy in Egypt have contacted human rights groups and ministries alleging that police tortured 1,000 members of the minority church living in a southern village in August."	0
651	54EGY	21832	23/09/1998	1998	9	23	1	Battle-No change of territory	Ahrar Party (Hemeida Faction)		3	Ahrar Party (Sadat Faction)		3	33	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	Rival factions of an Egyptian opposition party opened fire on each other and used firebombs in a battle on Wednesday to occupy party offices in downtown Cairo.	0
651	55EGY	21833	02/11/1998	1998	11	2	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Islamist Militia (Egypt)		3	13	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Dow Jones International News	Egyptian police Monday shot and killed two Islamic militants wanted for a series of attacks. The gunbattle began after police surrounded a house in which the militants had taken shelter near the village of Galal in the southern province of Minya.	2
651	56EGY	21834	17/12/1998	1998	12	17	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	Thousands of Cairo university students protested on Thursday against U.S. air raids on Iraq. Hundreds of students swarmed out of the American University in Cairo campus intending to march on the nearby U.S. embassy.	0
651	57EGY	21835	18/12/1998	1998	12	18	1	Riots/Protests	Protesters (Egypt)		6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	"In a separate demonstration, police sealed off the road leading to the U.S. embassy in Cairo as less than one hundred protestors at a nearby mosque burned a paper American flag"	0
651	58EGY	21836	18/12/1998	1998	12	18	1	Riots/Protests	Protesters (Egypt)		6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	"In a third demonstration, near the embassy, under 100 people burned an American flag, watched by helmeted police."	0
651	59EGY	21837	18/12/1998	1998	12	18	1	Riots/Protests	Rioters (Egypt)	Muslim Group (Egypt)	5	Police Forces of Egypt (1981-2011)		1	15	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	Hundreds of Egyptians burned American flags and shouted anti-U.S. slogans on Friday to protest against U.S.-led air strikes on Iraq. Twenty trucks full of riot police ringed the congested downtown area of Cairo near al-Azhar mosque.	0
651	60EGY	21838	19/12/1998	1998	12	19	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Cairo	Marg		`Ain Shams	30.13330	31.31670	1	Star-Ledger Wire Services	"A groundswell of protests against the bombing of Iraq roiled the Middle East. In Egypt, 4,000 students burned U.S. and Israeli flags at Banha University, north of Cairo."	0
651	61EGY	21839	19/12/1998	1998	12	19	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Kalyoubia	Banha		Banha	30.46080	31.18750	1	Star-Ledger Wire Services	"A groundswell of protests against the bombing of Iraq roiled the Middle East. In Egypt, 4,000 students burned U.S. and Israeli flags at Banha University, north of Cairo."	0
651	62EGY	21840	23/12/1998	1998	12	23	1	Riots/Protests	Police Forces of Egypt (1981-2011)		1	Protesters (Egypt)	Muslim Brotherhood	6	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	Egyptian police barred members of opposition parties from demonstrating in Cairo on Wednesday against last week's U.S. and British air strikes on Iraq. 	0
651	63EGY	21841	05/01/1999	1999	1	5	1	Violence against civilians	Muslim Militia (Egypt)		4	Civilians (Egypt)	Christian Group (Egypt)	7	47	Egypt	Suhag	Suhag-2		Sohag	26.55000	31.70000	1	Reuters	Gunmen have shot dead one Coptic Christian and wounded another in southern Egypt in an apparent dispute over a Moslem woman.	1
651	64EGY	21842	19/02/1999	1999	2	19	1	Riots/Protests	Protesters (Egypt)		6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	Demonstrators from an Egyptian opposition party shouted anti-American slogans and scuffled with police in front of the United States embassy in Cairo on Thursday to protest against U.S. threats to bomb Iraq.	0
651	65EGY	21843	05/04/1999	1999	4	5	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	Hundreds of Egyptian students demonstrated inside the grounds of Cairo University on Monday in support for ethnic Albanian Moslems in Kosovo.	0
651	66EGY	21844	20/04/1999	1999	4	20	1	Riots/Protests	Protesters (Egypt)		6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	"About 25 lawyers showed up on Tuesday for a three-hour sit-in at the syndicate's building in central Cairo, under heavy guard since mid-March when police forcibly prevented lawyers from convening a general assembly and holding fresh elections."	0
651	67EGY	21845	31/07/1999	1999	7	31	1	Battle-No change of territory	Muslim Militia (Egypt)		4	Police Forces of Egypt (1981-2011)		1	14	Egypt	Assiut	Al-Qusia		Assiut	27.33330	30.83330	1	Reuters	Suspected Moslem militants shot dead one policeman and wounded two other police at a checkpoint in southern Egypt on Friday.	1
651	68EGY	21846	06/09/1999	1999	9	6	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Giza	Giza		Giza	30.00860	31.21220	1	Reuters	Egyptian police shot dead four members of the banned al-Gama'a al-Islamiya (Islamic Group) who tried to resist arrest in their hideout near the capital on Monday.	4
651	69EGY	21847	06/09/1999	1999	9	6	1	Violence against civilians	Unidentified Armed Group (Egypt)		3	Civilians (Egypt)		7	37	Egypt	Port Said	Al-Munakh		Port Said	31.25654	32.28412	1	Reuters	Assassination attempt: Mubarak's bodyguards shot dead a street vendor when he attacked the president with a knife in the Suez Canal city of Port Said.	1
651	70EGY	21848	01/10/1999	1999	10	1	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Islamist Militia (Egypt)		3	13	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	Reuters	"An Egyptian Moslem fundamentalist died at the headquarters of state security investigations 10 days ago after being tortured, an Islamist human rights group said."	1
651	71EGY	21849	07/11/1999	1999	11	7	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Menoufia	Shibin al-Kum		Shibin al Kawm	30.55860	31.01000	1	Reuters	Hundreds of students from Minufiya University took to the streets on Sunday in protest at plans for a military trial of 20 alleged members of the banned Moslem Brotherhood.	0
651	72EGY	21850	08/12/1999	1999	12	8	1	Riots/Protests	Protesters (Egypt)		6			0	60	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	About 300 Egyptian workers demonstrated peacefully on Wednesday at a Coca-Cola plant in protest at the company's decision to relocate them.	0
651	73EGY	21851	01/01/2000	2000	1	1	1	Battle-No change of territory	Muslim Militia (Egypt)		4	Christian Militia (Egypt)		4	44	Egypt	Suhag	Suhag-2		Sohag	26.55000	31.70000	1	Reuters	At least three men were wounded in the southern Egyptian village of al-Kosheh after a dispute between two traders developed into Moslem-Christian clashes.	0
651	74EGY	21852	02/01/2000	2000	1	2	1	Battle-No change of territory	Muslim Militia (Egypt)		4	Christian Militia (Egypt)		4	44	Egypt	Suhag	Suhag-2		Sohag	26.55000	31.70000	1	Reuters	At least three men were wounded in the southern Egyptian village of al-Kosheh after a dispute between two traders developed into Moslem-Christian clashes.	8
651	75EGY	21853	03/01/2000	2000	1	3	1	Battle-No change of territory	Muslim Militia (Egypt)		4	Christian Militia (Egypt)		4	44	Egypt	Suhag	Suhag-2		Sohag	26.55000	31.70000	1	Reuters	At least three men were wounded in the southern Egyptian village of al-Kosheh after a dispute between two traders developed into Moslem-Christian clashes.	21
651	76EGY	21854	10/02/2000	2000	2	10	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Cairo	Muski		Cairo	30.05000	31.25000	1	AP Newswire	students from the American University in Cairo staged a protest inside their campus Thursday to denounce Israel's attacks on Lebanon.	0
651	77EGY	21855	15/02/2000	2000	2	15	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Cairo	Marg		`Ain Shams	30.13330	31.31670	1	Reuters	"Several thousand Egyptian university students held campus demonstrations in Cairo on Tuesday in protest at Israeli attacks on Lebanon. Students at Ain Shams University chanted anti-Israel slogans in separate demonstrations, while riot and state security police stood guard outside the campus."	0
