GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1976NIG	47864	07/04/2008	2008	4	7	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Zamfara	Zurmi		Zurmi	12.77583	6.78639	1	All Africa	Robbers attack a village in Zamfara State and kill the village head	1
475	1977NIG	47865	09/04/2008	2008	4	9	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Niger	Rafi		Niger State	10.00000	6.00000	2	All Africa	Youths attack a lawmaker's boat	0
475	1978NIG	47866	10/04/2008	2008	4	10	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Reuters News	Militants ouside Port Harcourt kidnap six Filipino workers on an oil service vessel.	0
475	1979NIG	47867	11/04/2008	2008	4	11	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Lagos	LagosIsland		Lagos	6.45306	3.39583	2	Vanguard (Nigeria)	Mr. Bede Uwazie was shot dead by robbers in his shop in Lagos State.	1
475	1981NIG	47869	12/04/2008	2008	4	12	1	Battle-No change of territory	Fulani Ethnic Militia (Nigeria)		4	Unidentified Ethnic Militia (Nigeria)		4	44	Nigeria	Katsina	Katsina (K)		Katsina	12.98943	7.60063	2	All Africa	Four were killed as farmers and herdsmen clash over land in Katsina State.	4
475	1980NIG	47868	12/04/2008	2008	4	12	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (International)		7	37	Nigeria	Delta	Ndokwa East		Niger Delta	5.32611	6.47083	1	Reuters News	Militants attack an oil facility in the Niger Delta and kidnap a Russian	0
475	1983NIG	47871	17/04/2008	2008	4	17	1	Battle-No change of territory	ANPP: All Nigeria People's Party		3	ANPP: All Nigeria People's Party		3	33	Nigeria	Bauchi	Toro		Toro	10.05452	9.06043	1	All Africa	Two groups of ANPP supporters clash	0
475	1984NIG	47872	17/04/2008	2008	4	17	1	Violence against civilians	ANPP: All Nigeria People's Party		3	Civilians (Nigeria)		7	37	Nigeria	Bauchi	Toro		Toro	10.05452	9.06043	1	All Africa	Two groups of ANPP supporters clash	0
475	1982NIG	47870	17/04/2008	2008	4	17	1	Battle-No change of territory	ANPP: All Nigeria People's Party		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Bauchi	Toro		Toro	10.05452	9.06043	1	All Africa	Two groups of ANPP supporters clash	0
475	1985NIG	47873	18/04/2008	2008	4	18	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Delta	Ughelli North		Delta	5.50000	6.00000	2	Reuters News	MEND rebels destroy a Royal Dutch Pipeline; shut down production.	0
475	1986NIG	47874	24/04/2008	2008	4	24	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.44920	7.24000	1	Agence France Presse	Unidentified Gunmen kill five police on Bonny Island.	5
475	1987NIG	47875	26/04/2008	2008	4	26	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Adamawa	Michika		Michika	10.61592	13.38490	1	Vanguard (Nigeria)	At least one killed in heavy turnout election scuffle.	1
475	1988NIG	47876	28/04/2008	2008	4	28	2	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Bonny Island	4.44920	7.24000	1	Cape Times	Gunmen storm a police station on Bonny Island	0
475	1990NIG	47878	01/05/2008	2008	5	1	2	Violence against civilians	Civilians (Nigeria)		7	Police Forces of Nigeria (2007-2010)		1	17	Nigeria	Ondo	AkokoNorthWest		Oke Agbe	7.64484	5.76152	2	All Africa	Police kill 2 students protesting police extortion.	2
475	1989NIG	47877	01/05/2008	2008	5	1	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Lagos	LagosIsland		Lagos	6.45306	3.39583	1	All Africa	Union leader shot dead by assassins.	1
475	1991NIG	47879	07/05/2008	2008	5	7	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Anambra	Oyi		Nkpor	6.15000	6.83333	1	Vanguard (Nigeria)	Five members of a civilian group have been killed over a land dispute.	5
475	1992NIG	47880	07/05/2008	2008	5	7	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Bayelsa	Yenegoa		Yenagoa	4.92472	6.26417	1	Vanguard (Nigeria)	A cult group burn two children and their grandmother to death in Yenagoa.	3
475	1993NIG	47881	08/05/2008	2008	5	8	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Anambra	OrumbaSo		Umunze	5.96667	7.23333	1	Vanguard (Nigeria)	Militants attack Mr. Joseph Mbachu	0
475	1995NIG	47883	09/05/2008	2008	5	9	2	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Bonny		River Sombrero	4.44920	7.24000	2	Lloyd's List	Militants attack a seafarer in the River Sombrero	0
475	1994NIG	47882	09/05/2008	2008	5	9	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010) Joint Task Force		1	13	Nigeria	Bayelsa	Nembe		Nembe	4.53333	6.38333	1	BBC Monitoring Africa	Militants exchange gunfire with JTF in Nembe.	0
