GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
552	248ZIM	94721	15/04/2000	2000	4	15	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Macheke	-18.15000	31.85000	1	Amnesty International: Zimbabwe - Terror tactics in the run-up to parliamentary elections June 2000	"One killed, another injured after abduction and torture"	1
552	251ZIM	94724	16/04/2000	2000	4	16	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	252ZIM	94725	17/04/2000	2000	4	17	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	"Stephens abducted, along with others, severely beaten and executed by shooting"	1
552	253ZIM	94726	17/04/2000	2000	4	17	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	"Stephens abducted, along with others, severely beaten and executed by shooting"	1
552	256ZIM	94729	18/04/2000	2000	4	18	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	"Zanu-PF supporters beat a number of MDC supporters, attempted and actual (at least 1) rape of wives and females, burnt houses"	0
552	254ZIM	94727	18/04/2000	2000	4	18	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Bulawayo	Bulawayo	Bulawayo City Council	Bulawayo	-20.15000	28.58000	1	Zimbabwe Human Rights NGO Forum	Martin Olds murdered	1
552	255ZIM	94728	18/04/2000	2000	4	18	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	"Location undisclosed.
3 hour gun battle between war vets and lone farmer"	0
552	257ZIM	94730	19/04/2000	2000	4	19	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Bulawayo	Bulawayo	Bulawayo City Council	Pumula-Luveve	-20.15000	28.46670	1	Zimbabwe Human Rights NGO Forum		0
552	258ZIM	94731	19/04/2000	2000	4	19	1	Riots/Protests	Rioters (Zimbabwe)	ZANU-PF: Zimbabwe African National Union-Patriotic Front	5	Rioters (Zimbabwe)	MDC: Movement for Democratic Change	5	55	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	MDC youths attending a funeral clashed with Zanu-PF who were at Mugabe's house	0
552	260ZIM	94733	20/04/2000	2000	4	20	1	Violence against civilians	Unidentified Armed Group (Zimbabwe)		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	Murehwa	-17.64694	31.77750	1	Zimbabwe Human Rights NGO Forum	Julius Andoche killed	1
552	259ZIM	94732	20/04/2000	2000	4	20	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum		0
552	261ZIM	94734	20/04/2000	2000	4	20	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Mutoko	Mutoko RDC	Mutoko	-17.40000	32.21670	1	Amnesty International	"Matthew Rukwata Dovi, MDC candidate, abducted, held for 3 weeks, beaten. Renounced candidacy upon release"	0
552	262ZIM	94735	21/04/2000	2000	4	21	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Murehwa	Murehwa RDC	St. Paul's Mission	-17.75000	31.58330	1	Zimbabwe Human Rights NGO Forum	2 women brutally attacked returning from church. 1 gang raped by 4 Zanu-PF	0
552	263ZIM	94736	22/04/2000	2000	4	22	1	Remote violence	Unidentified Armed Group (Zimbabwe)		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	The Daily Times	Offices bombed by suspected ZANU-PF affiliates	0
552	264ZIM	94737	23/04/2000	2000	4	23	1	Violence against civilians	Unidentified Armed Group (Zimbabwe)		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	"Date reflects publication of report in Standard paper.
2 white sisters (daughters of head of CFU) raped, 1 husband assaulted. Political aspect as 1 repeatedly asked who she would vote for"	0
552	265ZIM	94738	24/04/2000	2000	4	24	1	Remote violence	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	Daily News offices bombed	0
552	266ZIM	94739	24/04/2000	2000	4	24	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Shamva	Chaminuka RDC	Shamva	-17.31660	31.56670	1	Zimbabwe Human Rights NGO Forum	"Victim hospitalised, visited by CIO and decided to leave"	0
552	268ZIM	94741	24/04/2000	2000	4	24	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland West	Kariba Urban	Kariba Municipality	Kariba	-16.51660	28.80000	1	Zimbabwe Human Rights NGO Forum		0
552	267ZIM	94740	24/04/2000	2000	4	24	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Hwedza	Hwedza RDC	Wedza	-18.61670	31.56670	1	Zimbabwe Human Rights NGO Forum	"Farm workers attacked, tortured, houses burned"	0
552	270ZIM	94743	25/04/2000	2000	4	25	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum		0
552	269ZIM	94742	25/04/2000	2000	4	25	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Chesa Division	-16.75000	31.83330	1	Zimbabwe Human Rights NGO Forum	"MDC provincial organising secretary's house burned, workers and MDC beaten"	0
552	272ZIM	94745	25/04/2000	2000	4	25	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Gokwe South Urban	Gokwe Town Council	Gokwe	-18.21660	28.93330	1	Amnesty International	MDC chairman for Gokwe Central Vusumuzi Mukweli severely beaten	0
552	271ZIM	94744	25/04/2000	2000	4	25	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland West	Kariba Urban	Kariba Municipality	Kariba	-16.51660	28.80000	1	Zimbabwe Human Rights NGO Forum	"Rex Jesus and war veterans abduct 18 MDC supporters, torture them. 2 died"	2
